Collecte nationale des boutiques Carrefour
Date: 20260427_204756
Nombre de centres detectes: 173

001 | carrefour-iroise-boutiques | 43 titres | OK | https://www.centre-commercial.fr/carrefour-iroise/boutiques/
002 | carrefour-alencon-boutiques | 28 titres | OK | https://www.centre-commercial.fr/carrefour-alencon/boutiques/
003 | carrefour-amiens-boutiques | 22 titres | OK | https://www.centre-commercial.fr/carrefour-amiens/boutiques/
004 | angers-st-serge-boutiques | 21 titres | OK | https://www.centre-commercial.fr/angers-st-serge/boutiques/
005 | carrefour-angoulins-boutiques | 34 titres | OK | https://www.centre-commercial.fr/carrefour-angoulins/boutiques/
006 | carrefour-annecy-boutiques | 28 titres | OK | https://www.centre-commercial.fr/carrefour-annecy/boutiques/
007 | carrefour-antibes-boutiques | 40 titres | OK | https://www.centre-commercial.fr/carrefour-antibes/boutiques/
008 | carrefour-auch-boutiques | 17 titres | OK | https://www.centre-commercial.fr/carrefour-auch/boutiques/
009 | carrefour-auchy-les-mines-boutiques | 24 titres | OK | https://www.centre-commercial.fr/carrefour-auchy-les-mines/boutiques/
010 | carrefour-auterive-boutiques | 15 titres | OK | https://www.centre-commercial.fr/carrefour-auterive/boutiques/
011 | barentin-boutiques | 61 titres | OK | https://www.centre-commercial.fr/barentin/boutiques/
012 | carrefour-bassens-boutiques | 19 titres | OK | https://www.centre-commercial.fr/carrefour-bassens/boutiques/
013 | carrefour-bayeux-boutiques | 8 titres | OK | https://www.centre-commercial.fr/carrefour-bayeux/boutiques/
014 | carrefour-beaucaire-boutiques | 26 titres | OK | https://www.centre-commercial.fr/carrefour-beaucaire/boutiques/
015 | carrefour-beauvais-boutiques | 15 titres | OK | https://www.centre-commercial.fr/carrefour-beauvais/boutiques/
016 | carrefour-berck-boutiques | 31 titres | OK | https://www.centre-commercial.fr/carrefour-berck/boutiques/
017 | carrefour-chalezeule-boutiques | 22 titres | OK | https://www.centre-commercial.fr/carrefour-chalezeule/boutiques/
018 | carrefour-brou-boutiques | 25 titres | OK | https://www.centre-commercial.fr/carrefour-brou/boutiques/
019 | carrefour-bourges-boutiques | 42 titres | OK | https://www.centre-commercial.fr/carrefour-bourges/boutiques/
020 | carrefour-calais-boutiques | 14 titres | OK | https://www.centre-commercial.fr/carrefour-calais/boutiques/
021 | carrefour-chambourcy-boutiques | 75 titres | OK | https://www.centre-commercial.fr/carrefour-chambourcy/boutiques/
022 | carrefour-champs-sur-marne-boutiques | 19 titres | OK | https://www.centre-commercial.fr/carrefour-champs-sur-marne/boutiques/
023 | carrefour-la-croisette-boutiques | 24 titres | OK | https://www.centre-commercial.fr/carrefour-la-croisette/boutiques/
024 | carrefour-chateauroux-boutiques | 20 titres | OK | https://www.centre-commercial.fr/carrefour-chateauroux/boutiques/
